municipality,county_council_district,council_representative,senatorial_district,legislative_district,congressional_district,council_of_government,police_chief,fire_chief,ems_agency,sanitary_authority,school_district,contact_name,contact_address,contact_phone,median_property_value,certified_taxable_value,certified_exempt_value,certified_purta_value,certified_all_real_estate,square_miles,muni_code,school_code
Indiana Township,3,Anita Prizio,38,33,12,North Hills,Marc C. Myers,3 Volunteer Fire Chiefs,West Deer EMS,Alcosan,FOX CHAPEL AREA,"Daniel L. Anderson, Manager/Secretary","3710 Saxonburg BoulevardPittsburgh, PA 15238",412-767-5333,152650,738470640,55649400,469500,794589540,17,917,17
Borough of Ingram,12,Robert Palmosina,42,27,14,Char-West,Jack Doherty,Contract with City of Pittsburgh,Ingram Community Ambulance,Alcosan,MONTOUR,"Connie Klauck, Secretary","40 W. Prospect AvenuePittsburgh, PA  15205",412-922-5877,81600,123975750,4681200,8000,128664950,0.46,835,24
Borough of Jefferson Hills,6,John F. Palmiere,37,39,18,South Hills Area,"Ronald Dziezgowski, Jr.",Brian Chalfant,"Jefferson Hills Area Ambulance Assoc., Inc.",NA,WEST JEFFERSON,"Michael  S. Glister, Borough Manager","925 Old Clairton RoadJefferson Hills, PA  15025",412-226-2230,125600,992142559,147902500,7504750,1147549809,16.9,878,44
Kennedy Township,4,Patrick J. Catena,42,45,14,Char-West,Robert D. Hull,Christopher Gutt,Northwest EMS,Alcosan,MONTOUR,"Gerald Orsini, Manager","340 Forest Grove RoadCoraopolis, PA  15108",412-771-3616,138700,686073285,86201300,54600,772329185,5.29,919,24
Kilbuck Township,1,Jack Betkowski,37,45,12,Quaker Valley,Ohio Township Police,Emsworth or Ben Avon,Northwest EMS,Alcosan,AVONWORTH,"Harry W. Dilmore, Secretary/Treasurer","343 Eicher RoadKillbuck, PA  15237",412-835-5243,141200,71280846,18213600,15200,89509646,2.35,920,2
Leet Township,2,Suzanne Filiaggi,37,16,18,Quaker Valley,Interim Chief Brian Jameson,Mark Brooks,Quaker Valley Ambulance,NA,QUAKER VALLEY,"Betsy Rengers, Township Manager","194 Ambridge AvenueFair Oaks, PA  15003",724-266-2280,127600,120957600,31878200,0,152835800,1.48,921,32
Borough of Leetsdale,2,Suzanne Filiaggi,37,16,18,Quaker Valley,Daniel P. Raible,Ernest E. K. Logan,Quaker Valley Ambulance,NA,QUAKER VALLEY,"Jennifer Simek, Secretary","373 Beaver Street, Suite ALeetsdale, PA  15056",412-741-3195,69850,141584257,14228300,188500,156001057,1.02,836,32
Borough of Liberty,9,Robert J. Macey,45,38,14,Steel Rivers COG,Lt. Ralph Marsico,Cory Derr,Elizabeth Township Area EMS,MACM,SOUTH ALLEGHENY,"Rachel Waltonbaugh, Secretary/Treasurer","2921 Liberty WayMcKeesport, PA  15133",412-678-3286,66300,88485463,17905500,94640,106485603,1.46,837,35
Borough of Lincoln,9,Robert J. Macey,45,35,14,Steel Rivers COG,Richard Buehrle,Jeff Bertok,SouthEast Regional EMS,NA,SOUTH ALLEGHENY,"Tammy Firda, Assistant Secretary","45 Abe's WayElizabeth, PA  15037",412-751-2655,56500,50121632,2048800,151400,52321832,5.02,881,35
Marshall Township,2,Suzanne Filiaggi,38,28,12,North Hills,Northern Regional Police,Chad Lang,McCandless Franklin Park,NA,NORTH ALLEGHENY,Bob Grimm,"525 Pleasant Hill Road, Suite 100Wexford, PA  15090",724-935-3090,274950,1786632579,134740900,176400,1921549879,14.79,923,27
Town of McCandless,2,Suzanne Filiaggi,38,28,12,North Hills,Ryan Hawk,Jeff Wissner,McCandless Franklin Park,Alcosan,NORTH ALLEGHENY,"John F. Schwend, Manager","9955 Grubbs RoadWexford, PA  15090",412-364-0616,193100,2816392210,438274800,99400,3254766410,16.6,927,27
Borough of McDonald,4,Patrick J. Catena,37,46,18,NA,Mark E. Dorsey,Terry Kerr,Northwest,Alcosan,FORT CHERRY º,"Marie Maximovich, Secretary","151 School St.McDonald, PA  15057",724-926-8284,40900,14954500,291300,0,15245800,0.23,841,48
City of McKeesport,9,Robert J. Macey,45,35,14,Steel Rivers COG,Mark Steele,Jeff Tomovcsik,McKeesport Ambulance Rescue,Pennsylvania American Water,MCKEESPORT AREA,"Annette James, City Clerk","500 Fifth AvenueMcKeesport, PA  15132",412-675-5020,201002575,379679567,265937698,2741200,648358465,5.15,400,23
Borough of McKees Rocks,4,Patrick J. Catena,42,27,14,Char-West,Richard Deliman,Nick Radoycis,Northwest EMS,Alcosan,STO-ROX,"Ruth A. Pompey, Manager","340 Bell AvenueMcKees Rocks, PA  15136",412-331-2498,30700,155541732,22231770,530700,178304202,1.02,842,39
Borough of Millvale,3,Anita Prizio,38,21,14,North Hills,Tim Komoroski,Karl Cavanaugh,Ross/West View EMSA,Alcosan,SHALER AREA,"Amy S. Rockwell, Manager","501 Lincoln AvenuePittsburgh, PA  15209",412-418-6425,37900,103062501,14695800,206700,117965001,0.68,838,34
Municipality of Monroeville,8,Michelle Naccarati-Chapkis,45,25,"12, 14, 18",Turtle Creek Valley,Kenneth Doug Cole,"Reed, Hyzy, Feyes, Harvey, Katofsky","Monroeville VFD 1, 4, 5, 6",Alcosan,GATEWAY,"Tim Little, Manager","2700 Monroeville BoulevardMonroeville, PA  15146",412-856-3348,111800,2256463661,530161700,1528100,2788153461,19.54,879,18
Moon Township,1,Jack Betkowski,37,44,18,South Hills Area,Greg Seamon,John Scott,Valley Ambulance,NA,MOON AREA,"Dawn Lane, Manager","1000 Beaver Grade RoadMoon Township, PA  15108",412-262-1700,160600,2527955751,579953600,170700,3108080051,23.75,925,25
Municipality of Mt. Lebanon,5,Dan Grzybek,37,42,18,South Hills Area,Jason Haberman,Kurt Christofel,Medical Rescue Team South,Alcosan,MT. LEBANON,"Keith McGill, Manager","710 Washington RoadPittsburgh, PA  15228",412-343-3405,190100,2759419781,388708500,90400,3148218681,5.88,926,26
Borough of Mt. Oliver,11,Paul Klein,43,36,14,South Hills Area,Matt Juzwick,Francis Kestner,Pittsburgh EMS,Alcosan,PITTSBURGH,"Rick Hopkinson, Manager","150 Brownsville RoadPittsburgh, PA  15210",412-431-8107,38200,67534444,6376800,0,73911244,0.32,839,47
Borough of Munhall,9,Robert J. Macey,43,35,14,Steel Rivers COG,Thomas Fullard,Glenn Coles,Munhall Area Prehospital Services,Alcosan,STEEL VALLEY,"Seth Abrams, Borough Manager","1 Raymond Bodnar WayMunhall, PA  15120",412-464-7310,64200,384989898,78394000,138800,463522698,2.36,840,38
Neville Township,1,Jack Betkowski,42,45,14,Char-West,Ohio Township Police,"Michael ""Sam"" Thomas",Valley Ambulance,Alcosan,CORNELL,"Jeanne M. Creese, Manager","5050 Grand AvenuePittsburgh, PA  15225",724-731-2300,62000,173836600,13948800,208400,187993800,1.62,928,11
North Braddock Borough,8,Michelle Naccarati-Chapkis,45,34,14,Turtle Creek Valley,NA,Anthony Rydzak,Priority One EMS,Alcosan,WOODLAND HILLS,"Douglas Marguriet, Manager/Secretary","600 Anderson StreetNorth Braddock, PA  15104",412-351-5500,16000,78706690,31715600,88600,110510890,1.64,843,9
North Fayette Township,4,Patrick J. Catena,37,44,18,Char-West,Donald Cokus,Gary Hamilton,Northwest EMS,Alcosan,WEST ALLEGHENY,"James Mangan, Township Manager","400 North Branch RoadOakdale, PA  15071",724-693-3118,122600,1444067922,161249100,59000,1605376022,28.74,929,43
North Versailles Township,8,Michelle Naccarati-Chapkis,45,25,14,Turtle Creek Valley,Norman Locke,"Yule, Pusey, Hill",FD of North Versailles,N.V.T.S.A,EAST ALLEGHENY,"Joseph Varhola, Manager","1401 Greensburg AvenueNorth Versailles, PA  15137",412-824-6616,57100,463411306,86208600,1771600,551391506,8.35,930,14
Borough of Oakdale,4,Patrick J. Catena,37,46,18,Char-West,Jim Lauria,Bill Hartman Jr.,Northwest EMS,Alcosan,WEST ALLEGHENY,"Laura Ahlborn, Secretary","104 Seminary Ave.Oakdale, PA  15057",724-693-9397,97800,76059060,3028900,122600,79210560,0.58,844,43
Borough of Oakmont,7,Nicholas Futules,43,33,14,Allegheny Valley North,Michael J. Ford,David Carroll,Lower Valley Ambulance Service,NA,RIVERVIEW,"Lisa Cooper Jensen, Manager","767 Fifth StreetOakmont, PA  15139",412-826-0300,155000,612415115,78270800,356400,691042315,1.57,845,33
O'Hara Township,3,Anita Prizio,38,"21. 30, 32",12,North Hills,Jay R. Davis,2 Volunteer Fire Companies,Parkview VFC,Alcosan,FOX CHAPEL AREA,"Julie  A. Jakubec, CPA, Manager","325 Fox Chapel RoadPittsburgh, PA  15238",412-835-5243,197450,1275746266,244333100,133300,1520212666,7.01,931,17
Ohio Township,1,Jack Betkowski,37,44,12,North Hills,Joseph P. Hanny,Justin Klingenberg,Ross/West View EMSA,Ohio Twp. Sanitary Authority,AVONWORTH,"Justin Klingenberg, Manager","1719 Roosevelt RoadPittsburgh, PA  15237",412-528-4858,268300,870430540,98850600,14300,969295440,7.46,932,2
Borough of Glen Osborne,1,Jack Betkowski,37,44,12,Quaker Valley,Sewickley Borough Police,Shayne Quinn,Quaker Valley Ambulance,NA,QUAKER VALLEY,"Diane Vierling, Secretary/Treasurer","PO Box 97Sewickley, PA  15143",724-731-2319,255200,78024250,10364700,29800,88418750,0.46,846,32
Municipality of Penn Hills,7,Nicholas Futules,43,32,14,Turtle Creek Valley,Howard Burton,John D. Mason,Penn Hills EMS,Alcosan,PENN HILLS,"Mohammed Rayan, Manager","12245 Frankstown RoadPittsburgh, PA  15235",412-793-7063,70100,1651820884,258526800,856800,1911204484,19.17,934,30
Pennsbury Village,4,Patrick J. Catena,37,45,18,Char-West,Carnegie Borough Police,Carnegie Borough Fire Dept.,Carnegie VFC,NA,MONTOUR,"Irv Foreman, Manager","1043 Pennsbury BoulevardPittsburgh, PA  15205",412-276-6181,91000,46121550,0,0,46121550,0.08,871,24
Pine Township,2,Suzanne Filiaggi,38,28,12,North Hills,Northern Regional Police Dept.,Chris Ausefski,McCandless Franklin Park,NA,PINE-RICHLAND,"Jason Kratsas, Manager","230 Pearce Mill RoadWexford, PA  15090",724-625-1591 x115,335200,2414086442,273205600,387600,2687679642,17.12,935,3
Borough of Pitcairn,8,Michelle Naccarati-Chapkis,45,25,14,Turtle Creek Valley,Scott A. Farally,Thomas Dick,Monroeville VFC #4,Alcosan,GATEWAY,"Annette Dietz, Manager","609 Broadway Blvd.Pitcairn, PA  15140",412-372-3009,34600,58500985,7695700,7400,66204085,0.5,847,18
